y,x,street_count,highway,junction,ref,geometry
2039395.6896148536,383314.7656213916,3,,,,POINT (383314.7656213916 2039395.6896148536)
2039385.6075786229,383316.70024588984,3,,,,POINT (383316.70024588984 2039385.6075786229)
2039429.0229543725,383321.6967148229,3,,,,POINT (383321.6967148229 2039429.0229543725)
2040043.1855067597,379503.87333251134,4,,,,POINT (379503.87333251134 2040043.1855067597)
2040041.046334396,379490.36242679367,7,traffic_signals,,,POINT (379490.36242679367 2040041.046334396)
2040051.5489377466,379555.2331167986,3,,,,POINT (379555.2331167986 2040051.5489377466)
2039930.8510833343,379528.47050604335,4,,,,POINT (379528.47050604335 2039930.8510833343)
2039926.7978046164,374311.58905969776,3,,,,POINT (374311.58905969776 2039926.7978046164)
2039910.702926327,374308.8534060155,3,,,,POINT (374308.8534060155 2039910.702926327)
2039935.4751679671,374314.7723449948,3,,,,POINT (374314.7723449948 2039935.4751679671)
2039929.2613923547,374251.6468793517,3,,,,POINT (374251.6468793517 2039929.2613923547)
2041214.2123903926,374538.82430233544,3,,,,POINT (374538.82430233544 2041214.2123903926)
2041234.4840153297,374539.1686333305,3,,,,POINT (374539.1686333305 2041234.4840153297)
2041206.212118504,374538.6978427399,3,,,,POINT (374538.6978427399 2041206.212118504)
2041225.6845104112,374637.2005117913,1,,,,POINT (374637.2005117913 2041225.6845104112)
2040561.5819781406,382925.33901017066,3,,,,POINT (382925.33901017066 2040561.5819781406)
2040546.5823931901,382929.7460972123,4,,,,POINT (382929.7460972123 2040546.5823931901)
2040557.9301132835,382914.50222912093,4,,,,POINT (382914.50222912093 2040557.9301132835)
2040822.287551759,379483.0266172949,3,,,,POINT (379483.0266172949 2040822.287551759)
2040826.3524965,379463.1554582687,4,,,,POINT (379463.1554582687 2040826.3524965)
2040429.013819804,379430.08551316865,3,,,,POINT (379430.08551316865 2040429.013819804)
2041089.3684542368,373206.34613993374,3,,,,POINT (373206.34613993374 2041089.3684542368)
2041125.7483230804,373295.82809372793,3,,,,POINT (373295.82809372793 2041125.7483230804)
2040826.785787335,373163.87991528877,3,,,,POINT (373163.87991528877 2040826.785787335)
2040763.3406517727,382869.4513798053,4,,,,POINT (382869.4513798053 2040763.3406517727)
2040752.5776347956,382995.18614863046,3,,,,POINT (382995.18614863046 2040752.5776347956)
2040762.886320101,382860.5246873549,3,,,,POINT (382860.5246873549 2040762.886320101)
2040647.159608968,382901.43586577254,3,,,,POINT (382901.43586577254 2040647.159608968)
2041313.381107793,374560.5021658392,3,,,,POINT (374560.5021658392 2041313.381107793)
2041379.873674666,374585.04908613156,3,,,,POINT (374585.04908613156 2041379.873674666)
2041237.8266787098,379425.4831095627,3,,,,POINT (379425.4831095627 2041237.8266787098)
2041235.7079390718,379412.2582939141,3,,,,POINT (379412.2582939141 2041235.7079390718)
